CellID,DNA1,ECAD,CD45,CD4,CD3D,CD8A,CD45R,KI67,X_centroid,Y_centroid,Area,MajorAxisLength,MinorAxisLength,Eccentricity,Solidity,Extent,Orientation
1,19443.42,1465.13,363.73,750.28,1478.05,316.87,370.9,1802.62,1472.831933,264.210084,119,17.71339303,9.397046758,0.847681694,0.881481481,0.661111111,-1.476128118
2,17647.24,1369.24,284.81,700.48,884.81,312.23,370.18,1789.68,1487.104839,266.9112903,124,15.68153345,10.55770614,0.739408325,0.932330827,0.704545455,-0.311347485
3,21848.09,1242.87,294.96,650.74,990.03,294.77,345.82,1729.53,1466.933333,276.9066667,150,17.34579909,12.60394508,0.687031004,0.806451613,0.520833333,-0.102820244
4,29309.49,1397.63,303.71,768.86,982.97,321.32,400.1,1512.15,1344.244681,275.0851064,94,11.72260275,11.03458721,0.337547111,0.912621359,0.712121212,-0.485350451
5,13940.3,1291.75,285.89,673.81,817.97,292.64,366.31,1525.51,1354.677824,280.6527197,239,24.08629698,14.35096725,0.803122014,0.826989619,0.611253197,-0.189247228
6,24033.48,1110.69,295.3,701.89,919.59,333.87,380.76,1837.04,1488.373494,277.6506024,83,17.70849421,6.709634181,0.925440263,0.805825243,0.461111111,-0.767649228
7,16483.2,533.14,433.41,764.95,478.91,268.57,325.61,1277.32,1325.5,279.2702703,74,13.30358844,7.27137025,0.83741205,0.925,0.711538462,0.144870407
8,24039.79,1061.94,285.99,653,708.78,293.85,383.01,1640.59,1454.47482,287.5539568,278,21.26598763,17.56763808,0.563536943,0.888178914,0.630385488,-0.84053766
9,12677.1,1740.27,276.83,760.9,1033.23,311.33,357.67,1558.13,1362.533333,281.7666667,30,7.22327002,6.239830233,0.503747121,0.810810811,0.535714286,0.951581097
10,27830.22,731.3,296.33,583.38,691.48,281.67,302.27,1324.18,1341.316667,284.2833333,60,11.64768887,6.858750264,0.808241796,0.9375,0.666666667,0.744431412
11,20662.54,1005.75,281.81,650.82,727.64,340.33,373.55,1865.67,1485.886179,288.0731707,123,20.96220691,8.166972403,0.92098222,0.842465753,0.431578947,-0.80041922
12,19161.43,432.92,273.41,466.05,327.98,290.67,296.85,1259.51,1294.885246,286.6557377,61,14.04561642,5.699346562,0.913973427,0.871428571,0.67032967,-0.061287502
13,20840.51,1737.34,555.67,707.98,877.47,366.82,400.68,1987.17,1582.029126,284.3203883,103,14.8085632,10.13798101,0.728916502,0.919642857,0.585227273,1.47551032
14,27680.25,1235.52,303.41,642.51,811.74,292.68,381.73,2017.21,1630.832143,293.3678571,280,27.28846389,14.55760351,0.845818371,0.828402367,0.610021786,0.176815664
